번호	id	pw	이름	생년월일	포인트	회원등급	
1	coffee1	1111	이기민	1997-08-21	14210 	일반	
2	coffee2	2222	류승룡	1974-02-10	4835 	일반	
3	coffee3	3333	소수찬	2001-11-11	18025 	Bronze	
4	coffee4	4444	강혜림	2000-05-07	11650 	일반	
5	coffee5	5555	정서희	1999-09-09	26357 	Silver	
6	coffee6	6666	오영수	1998-12-07	25760 	Silver	
7	coffee7	7777	선하라	1988-04-25	17013 	Bronze	
8	coffee8	8888	윤대현	2001-03-07	37790 	Gold	
9	coffee9	9999	최소라	2000-08-28	4400 	일반	
10	coffee10	1000	김찬진	1987-09-23	30362 	Silver	
11	coffee11	1100	유가을	2001-06-19	19317 	Bronze	
12	coffee12	1200	김소미	1998-04-05	8700 	일반	
13	coffee13	1300	안정훈	2000-10-01	8225 	일반	
14	coffee14	1400	김덕훈	1988-11-30	1125 	일반	
15	coffee15	1500	김상진	2001-08-06	31655 	Silver	
