번호	진료과	의사이름	요일	시간
1	내과	한성진	월	오전
2	내과	한성진	월	오후
3	내과	손유나	화	오전
4	내과	박정혁	화	오후
5	내과	손유나	수	오전
6	내과	손유나	수	오후
7	내과	박정혁	목	오전
8	내과	한성진	목	오후
9	내과	한성진	금	오전
10	내과	손유나	금	오후
11	내과	박정혁	토	오전
12	내과	박정혁	토	오후
13	정형외과	김준수	월	오전
14	정형외과	김준수	월	오후
15	정형외과	이다인	화	오전
16	정형외과	이현수	화	오후
17	정형외과	이다인	수	오전
18	정형외과	이다인	수	오후
19	정형외과	이현수	목	오전
20	정형외과	김준수	목	오후
21	정형외과	김준수	금	오전
22	정형외과	이다인	금	오후
23	정형외과	이현수	토	오전
24	정형외과	이현수	토	오후
25	안과	윤종환	월	오전
26	안과	윤종환	월	오후
27	안과	송규진	화	오전
28	안과	박준영	화	오후
29	안과	송규진	수	오전
30	안과	송규진	수	오후
31	안과	박준영	목	오전
32	안과	윤종환	목	오후
33	안과	윤종환	금	오전
34	안과	송규진	금	오후
35	안과	박준영	토	오전
36	안과	박준영	토	오후
37	치과	방진우	월	오전
38	치과	방진우	월	오후
39	치과	김진하	화	오전
40	치과	김도경	화	오후
41	치과	김진하	수	오전
42	치과	김진하	수	오후
43	치과	김도경	목	오전
44	치과	방진우	목	오후
45	치과	방진우	금	오전
46	치과	김진하	금	오후
47	치과	김도경	토	오전
48	치과	김도경	토	오후
