학생번호	비밀번호	학생이름	학생성별	학생전화번호	학생주소	학과코드
170001	1111	이상호	남	010-2342-3333	대전시 남구	C00
170002	2222	김수민	여	010-7777-8888	울산시 동구	C00
170003	3333	김가민	남	010-6666-7777	부산시 동구	C00
170004	4444	이철수	남	010-1111-2323	대구시 달서구	C00
170005	5555	박수철	남	010-0000-3214	부산시 해운대구	C00
170006	6666	이형민	남	010-5315-4321	울산시 서구	C00
170007	7777	김선희	여	010-6524-5424	대전시 서구	C00
170008	8888	이선영	여	010-5431-6535	부산시 사상구	C00
170009	9999	박공현	남	010-6542-5755	부산시 영도구	C00
170010	3131	조민희	여	010-4315-4555	부산시 북구	C00
170101	1212	조성우	남	010-4555-5444	부산시 사상구	C01
170102	0000	김지철	남	010-1123-5433	대전시 북구	C01
170103	1243	이민희	여	010-3333-4434	대구시 동구	C01
170104	3578	김현수	여	010-9090-0099	대구시 서구	C01
170105	5436	최가민	여	010-4324-3333	대구시 북구	C01
170106	4684	최가영	여	010-1234-3333	부산시 연제구	C01
170107	2224	김미인	여	010-9033-3334	부산시 남구	C01
170108	3415	김철수	남	010-6536-7756	부산시 해운대구	C01
170109	8768	이형수	남	010-7776-5434	서울시 강남구	C01
170110	7709	김순자	여	010-5444-5466	서울시 강북구	C01
170201	1242	배순탁	남	010-3334_4355	부산시 동구	C02
170202	2355	배순무	남	010-4443-8778	부산서 서구	C02
170203	7757	배순길	남	010-5646-8657	부산시 남구	C02
170204	2288	조선영	여	010-5678-9876	부산시 남구	C02
170205	4746	김석영	여	010-3455-5543	부산시 해운대구	C02
170206	4888	이수만	남	010-9786-6452	부산시 연제구	C02
170207	6464	조형선	여	010-4567-7686	대구시 남구	C02
170208	1116	박희선	여	010-3444-6555	대구시 북구	C02
170209	2789	최철민	남	010-5435-5542	울산시 서구	C02
170210	0987	최정수	남	010-3999-0089	울산시 남구	C02
